Localidade;Variável;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
ESTADO DE GOIÁS;Produção Agrícola - Algodão Herbáceo  - Área Colhida  (ha);96.718;106.539;102.185;99.347;141.555;149.114;66.033;82.807;72.030;54.870;43.909;110.779;96.430;53.270;68.129;32.175;29.273;26.606;28.136;44.215;38.522;33.503;31.346;31.746;36.403
ESTADO DE GOIÁS;Produção Agrícola - Algodão Herbáceo  - Quantidade Produzida  (t);254.476;326.150;301.255;305.187;469.794;432.045;202.914;296.553;286.750;227.307;180.404;425.825;352.514;205.167;267.179;131.995;86.446;103.871;108.457;182.928;162.377;138.840;129.665;116.410;146.940
ESTADO DE GOIÁS;Produção Agrícola - Alho - Área Colhida  (ha);1.536;1.620;1.909;2.393;1.155;1.154;1.024;1.874;1.900;1.650;2.666;3.096;2.392;2.045;2.268;2.328;2.203;2.348;2.380;2.778;3.425;3.500;3.440;3.465;3.817
ESTADO DE GOIÁS;Produção Agrícola - Alho - Quantidade Produzida  (t);10.206;13.590;19.525;24.272;12.820;12.593;12.277;22.707;23.330;21.260;39.247;46.700;35.303;30.680;21.050;34.741;28.881;29.615;30.865;35.113;53.590;50.213;58.459;56.198;54.751
ESTADO DE GOIÁS;Produção Agrícola - Cana-de-açúcar - Área Colhida (ha);139.186;129.921;145.069;164.861;176.328;196.596;232.577;273.870;404.670;518.768;578.666;697.541;732.870;860.482;894.843;930.052;931.342;922.817;947.391;946.970;937.619;926.609;931.090;978.329;1.015.810
ESTADO DE GOIÁS;Produção Agrícola - Cana-de-açúcar - Quantidade Produzida (t);10.162.959;10.253.497;11.674.140;12.907.592;14.001.079;15.642.125;19.049.550;22.063.677;33.401.559;44.064.470;48.000.163;54.903.085;58.348.797;69.376.714;70.152.466;72.066.835;71.061.922;71.387.519;75.733.545;75.315.239;76.480.368;72.012.198;73.525.072;81.599.588;80.995.596
ESTADO DE GOIÁS;Produção Agrícola - Feijão (Total) - Área Colhida (ha);112.179;126.466;122.605;139.852;104.422;118.242;133.358;124.452;97.400;113.928;118.948;132.100;140.503;130.863;129.371;122.797;143.150;150.523;149.949;148.603;133.779;138.654;127.527;127.855;145.416
ESTADO DE GOIÁS;Produção Agrícola - Feijão (Total) - Quantidade Produzida (t);200.415;221.742;235.418;289.172;209.835;280.461;268.478;253.668;220.449;261.929;288.816;311.837;336.304;294.027;316.287;289.463;330.284;349.822;344.689;341.045;351.454;340.325;342.170;356.020;365.818
ESTADO DE GOIÁS;Produção Agrícola - Girassol - Área Colhida (ha);-;-;-;-;-;8.616;7.350;17.514;21.700;4.937;11.410;8.179;16.860;3.629;4.770;7.290;14.869;15.143;18.189;25.859;22.922;24.235;24.612;35.497;45.504
ESTADO DE GOIÁS;Produção Agrícola - Girassol - Quantidade Produzida (t);-;-;-;-;-;12.383;9.187;26.994;26.955;6.718;16.674;11.667;25.705;5.677;8.228;11.133;14.267;23.692;27.236;44.477;38.320;36.661;39.877;56.904;70.177
ESTADO DE GOIÁS;Produção Agrícola - Milho - Total - Área Colhida (ha);839.844;907.628;731.073;716.047;696.324;614.709;695.127;832.224;905.680;906.370;878.062;960.792;1.221.160;1.229.994;1.404.928;1.401.843;1.337.699;1.633.471;1.489.108;1.667.787;1.731.660;1.860.245;1.907.212;2.181.640;2.158.782
ESTADO DE GOIÁS;Produção Agrícola - Milho - Total - Quantidade Produzida (t);3.659.475;4.157.387;3.389.532;3.632.636;3.523.279;2.855.538;3.297.193;4.169.313;5.101.543;4.980.834;4.888.817;5.743.622;8.230.069;7.686.971;9.088.029;9.512.503;5.804.842;9.996.344;8.934.855;11.979.032;11.838.775;10.750.433;10.709.893;14.460.846;13.026.753
ESTADO DE GOIÁS;Produção Agrícola - Soja - Área Colhida (ha);1.491.066;1.538.988;1.902.950;2.176.720;2.591.084;2.663.380;2.492.760;2.168.441;2.180.471;2.315.888;2.445.600;2.560.508;2.669.894;2.947.887;3.176.995;3.260.025;3.310.548;3.331.608;3.291.668;3.400.555;3.574.230;3.855.277;4.121.969;4.590.730;4.940.502
ESTADO DE GOIÁS;Produção Agrícola - Soja - Quantidade Produzida (t);4.092.934;4.052.169;5.405.589;6.319.213;6.091.676;6.983.860;6.017.719;5.937.727;6.604.805;6.809.187;7.252.926;7.703.982;8.398.891;8.913.069;8.938.560;8.606.210;10.239.473;11.372.539;11.395.436;11.080.442;12.837.120;13.654.117;15.216.144;17.405.060;16.973.882
ESTADO DE GOIÁS;Produção Agrícola - Sorgo - Área Colhida (ha);175.850;121.910;128.861;236.495;314.267;276.065;223.274;228.850;310.160;302.265;245.308;267.925;242.278;283.431;335.070;243.974;164.005;228.927;253.775;285.577;360.543;361.888;366.817;402.801;463.891
ESTADO DE GOIÁS;Produção Agrícola - Sorgo - Quantidade Produzida (t);287.502;252.352;238.545;638.387;741.076;510.869;568.659;503.183;814.969;757.927;611.665;813.944;808.130;923.304;1.058.051;898.123;346.296;817.565;895.354;1.110.706;1.173.014;1.140.088;1.045.555;1.412.446;1.513.332
ESTADO DE GOIÁS;Produção Agrícola - Tomate - Total - Área Colhida (ha);10.196;10.514;12.512;13.193;11.384;10.792;9.900;9.823;14.920;18.109;14.792;18.679;14.028;15.679;11.720;10.653;11.452;16.307;14.682;12.313;11.368;10.677;11.624;14.489;15.668
ESTADO DE GOIÁS;Produção Agrícola - Tomate - Total - Quantidade Produzida (t);712.448;742.182;951.410;1.016.188;871.945;776.430;759.620;802.030;1.249.525;1.427.144;1.120.135;1.440.961;1.157.078;1.317.607;1.055.337;912.976;934.658;1.298.088;1.329.790;1.126.095;1.098.311;1.026.055;993.452;1.242.457;1.463.461
ESTADO DE GOIÁS;Produção Agrícola - Trigo - Área Colhida (ha);6.887;14.415;20.609;16.610;21.772;11.114;10.761;10.491;19.100;22.438;15.824;9.615;9.776;4.062;8.091;9.190;12.775;10.535;13.150;-;26.000;20.503;21.900;29.853;36.502
ESTADO DE GOIÁS;Produção Agrícola - Trigo - Quantidade Produzida (t);8.509;18.773;45.022;65.647;87.781;49.885;47.918;48.040;86.465;84.472;79.776;49.138;42.880;19.543;43.428;43.857;63.461;52.845;55.365;-;110.884;84.035;90.047;124.911;132.252
